stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
291,223,es Pi (223),,38.9404,1.457687,2107,https://eivissa.tib.org/web/cie/parades/-/parada/223
293,216,Cala Llonga (216),,38.952755,1.517778,1727,https://eivissa.tib.org/web/cie/parades/-/parada/216
295,217,Can Clavos (217),,38.956974,1.445913,1684,https://eivissa.tib.org/web/cie/parades/-/parada/217
297,218,sa Gravada (218),,38.955612,1.502747,1776,https://eivissa.tib.org/web/cie/parades/-/parada/218
299,219,pont de sa Vinya (219),,38.95193,1.493448,2156,https://eivissa.tib.org/web/cie/parades/-/parada/219
301,212,Can Bassetes (212),,38.97754,1.514671,1612,https://eivissa.tib.org/web/cie/parades/-/parada/212
303,213,urb. Valverde (213),,38.96875,1.512589,2108,https://eivissa.tib.org/web/cie/parades/-/parada/213
304,214,encreuament Cala Llonga (214),,38.957348,1.511069,1887,https://eivissa.tib.org/web/cie/parades/-/parada/214
305,215,Bar Madison (215),,38.955173,1.517597,2069,https://eivissa.tib.org/web/cie/parades/-/parada/215
307,208,"C. del País Basc, 15 (208)",,38.9057,1.423461,2012,https://eivissa.tib.org/web/cie/parades/-/parada/208
309,209,Santa Eulària (209),,38.985985,1.533527,1750,https://eivissa.tib.org/web/cie/parades/-/parada/209
311,210,urb. Siesta (210),,38.981327,1.523369,1950,https://eivissa.tib.org/web/cie/parades/-/parada/210
313,211,Bar sa Font (211),,38.97905,1.517779,2064,https://eivissa.tib.org/web/cie/parades/-/parada/211
315,239,Bassa Roja (239),,38.98381,1.370148,1745,https://eivissa.tib.org/web/cie/parades/-/parada/239
317,238,Can Tixedo (238),,38.993572,1.361771,1866,https://eivissa.tib.org/web/cie/parades/-/parada/238
319,237,Can Casa Llarga (237),,39.0131,1.343349,2072,https://eivissa.tib.org/web/cie/parades/-/parada/237
321,236,Can Ferre (236),,39.030197,1.334814,1674,https://eivissa.tib.org/web/cie/parades/-/parada/236
322,235,Santa Agnès (235),,39.03818,1.336065,1702,https://eivissa.tib.org/web/cie/parades/-/parada/235
335,225,Cala Vedella (225),,38.914066,1.225201,69,https://eivissa.tib.org/web/cie/parades/-/parada/225
336,224,Ca Nostra (224),,38.93732,1.45385,1799,https://eivissa.tib.org/web/cie/parades/-/parada/224
337,254,Club de Campo (254),,38.90262,1.388518,1592,https://eivissa.tib.org/web/cie/parades/-/parada/254
338,255,Bar sa Carroca (255),,38.90391,1.392114,1885,https://eivissa.tib.org/web/cie/parades/-/parada/255
339,252,Can Noguera (252),,38.899876,1.382673,1660,https://eivissa.tib.org/web/cie/parades/-/parada/252
340,253,es Torrent (253),,38.901684,1.385615,1596,https://eivissa.tib.org/web/cie/parades/-/parada/253
341,250,Sa Compra (250),,38.89336,1.390172,1701,https://eivissa.tib.org/web/cie/parades/-/parada/250
342,251,Can Guerxo (251),,38.895153,1.386514,1860,https://eivissa.tib.org/web/cie/parades/-/parada/251
344,249,"Sant Jordi, Plaça de l'Església (249)",,38.891197,1.394717,1724,https://eivissa.tib.org/web/cie/parades/-/parada/249
345,246,Sant Miquel (246),,39.055256,1.437358,1629,https://eivissa.tib.org/web/cie/parades/-/parada/246
346,244,Can Mariano de sa Cova (244),,39.03243,1.431222,2163,https://eivissa.tib.org/web/cie/parades/-/parada/244
347,242,Cuatre Cantons (242),,38.963634,1.396487,1859,https://eivissa.tib.org/web/cie/parades/-/parada/242
348,243,s'Hort Nou 1 (243),,38.978806,1.414952,2049,https://eivissa.tib.org/web/cie/parades/-/parada/243
349,241,Can Muson (241),,38.972572,1.387372,1625,https://eivissa.tib.org/web/cie/parades/-/parada/241
350,275,Auditori Cas Serres (275),,38.90153,1.411052,1955,https://eivissa.tib.org/web/cie/parades/-/parada/275
351,274,CEIP Cas Serres (274),,38.903446,1.409972,1823,https://eivissa.tib.org/web/cie/parades/-/parada/274
352,273,urb. Vista Alegre (273),,38.89334,1.282755,1826,https://eivissa.tib.org/web/cie/parades/-/parada/273
353,272,H. Tarida Playa (272),,38.93771,1.238507,61,https://eivissa.tib.org/web/cie/parades/-/parada/272
355,278,Escoleta Can Cantó (278),,38.907467,1.411524,2141,https://eivissa.tib.org/web/cie/parades/-/parada/278
356,277,Església de San Pablo (277),,38.90611,1.411751,1608,https://eivissa.tib.org/web/cie/parades/-/parada/277
357,276,AV San Pablo (C. des Jondal) (276),,38.908688,1.414458,1963,https://eivissa.tib.org/web/cie/parades/-/parada/276
362,287,Ajuntament (287),,38.907253,1.437536,12371,https://eivissa.tib.org/web/cie/parades/-/parada/287
363,285,Museu d'Art Contemporani (285),,38.908623,1.435916,12371,https://eivissa.tib.org/web/cie/parades/-/parada/285
365,258,Can Cifre (258),,38.904705,1.402022,1710,https://eivissa.tib.org/web/cie/parades/-/parada/258
366,259,Can Fita (259),,38.90944,1.402195,1889,https://eivissa.tib.org/web/cie/parades/-/parada/259
367,256,Ca na Perica (256),,38.904594,1.395533,2051,https://eivissa.tib.org/web/cie/parades/-/parada/256
